mode,shards,p50_ms,p95_ms,p99_ms,qps,recall
in-process,1,0.21449249925353797,0.2906930494646076,0.36496567030553717,4587.8467960802955,0.9455
grpc,1,1.26438150073227,1.4346065994686796,1.5756795285597036,773.4381492506685,0.9455
grpc,2,1.423822001015651,1.6354553507881067,1.8756841101458144,682.3564736411607,0.95644
grpc,4,2.0765090002896613,2.640968100695318,3.2645400098590485,464.895741568382,0.967
