algo,config,param,recall,qps,build_s,index_mb,n,dim
vecsearch-hnsw,"M=16,efC=200",10,0.9692,33665.78067265628,6.25559986799999,31.97412109375,20000,384
vecsearch-hnsw,"M=16,efC=200",16,0.9856,25504.09220813696,6.25559986799999,31.97412109375,20000,384
vecsearch-hnsw,"M=16,efC=200",24,0.9918,19461.779808651943,6.25559986799999,31.97412109375,20000,384
vecsearch-hnsw,"M=16,efC=200",32,0.9946,14885.234543912808,6.25559986799999,31.97412109375,20000,384
vecsearch-hnsw,"M=16,efC=200",48,0.9984,10157.591167030014,6.25559986799999,31.97412109375,20000,384
vecsearch-hnsw,"M=16,efC=200",64,0.9984,8408.364533411057,6.25559986799999,31.97412109375,20000,384
vecsearch-hnsw,"M=16,efC=200",96,0.9998,6110.183720996432,6.25559986799999,31.97412109375,20000,384
vecsearch-hnsw,"M=16,efC=200",128,1.0,4760.658058896137,6.25559986799999,31.97412109375,20000,384
vecsearch-hnsw,"M=16,efC=200",192,1.0,3282.8931033919216,6.25559986799999,31.97412109375,20000,384
vecsearch-hnsw,"M=16,efC=200",256,1.0,2439.8316055545215,6.25559986799999,31.97412109375,20000,384
vecsearch-hnsw,"M=16,efC=200",384,1.0,1909.9987575451376,6.25559986799999,31.97412109375,20000,384
vecsearch-hnsw,"M=16,efC=200",512,1.0,1467.1674997464283,6.25559986799999,31.97412109375,20000,384
faiss-hnsw,"M=16,efC=200",10,0.9676,37119.00404623951,7.5295562500000415,32.0471134185791,20000,384
faiss-hnsw,"M=16,efC=200",16,0.9824,27493.27280832141,7.5295562500000415,32.0471134185791,20000,384
faiss-hnsw,"M=16,efC=200",24,0.9912,20113.53203807744,7.5295562500000415,32.0471134185791,20000,384
faiss-hnsw,"M=16,efC=200",32,0.9958,16087.83649845464,7.5295562500000415,32.0471134185791,20000,384
faiss-hnsw,"M=16,efC=200",48,0.9988,10811.459030914342,7.5295562500000415,32.0471134185791,20000,384
faiss-hnsw,"M=16,efC=200",64,1.0,7706.439880313531,7.5295562500000415,32.0471134185791,20000,384
faiss-hnsw,"M=16,efC=200",96,1.0,5480.114172691232,7.5295562500000415,32.0471134185791,20000,384
faiss-hnsw,"M=16,efC=200",128,1.0,4517.629520653879,7.5295562500000415,32.0471134185791,20000,384
faiss-hnsw,"M=16,efC=200",192,1.0,2903.0271757125893,7.5295562500000415,32.0471134185791,20000,384
faiss-hnsw,"M=16,efC=200",256,1.0,2303.764955522207,7.5295562500000415,32.0471134185791,20000,384
faiss-hnsw,"M=16,efC=200",384,1.0,1617.1845445182448,7.5295562500000415,32.0471134185791,20000,384
faiss-hnsw,"M=16,efC=200",512,1.0,1273.146445314377,7.5295562500000415,32.0471134185791,20000,384
